target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL211	tr22_pharm9_26	11	0	1.0	0.0	0.028	0.055	0.035	0.127	0.514	2.954	6	13.41704402842865	aaAAAAPHH
CHEMBL211	tr22_pharm9_25	10	0	1.0	0.0	0.026	0.05	0.032	0.117	0.513	2.954	6	13.079949602891407	aaAAAAPHH
CHEMBL211	tr22_pharm9_12	10	0	1.0	0.0	0.026	0.05	0.032	0.117	0.513	2.954	6	14.638246402788827	aaAAAPHHH
CHEMBL211	tr22_pharm9_21	10	0	1.0	0.0	0.026	0.05	0.032	0.117	0.513	2.954	6	14.940118106908027	aaAAAPHHH
CHEMBL211	tr22_pharm9_3	10	0	1.0	0.0	0.026	0.05	0.032	0.117	0.513	2.954	6	14.205471276505186	aaAAAPHHH
CHEMBL211	tr22_pharm9_18	9	0	1.0	0.0	0.023	0.045	0.029	0.106	0.512	2.954	6	14.230226141835336	aaAAAPHHH
CHEMBL211	tr22_pharm9_16	9	0	1.0	0.0	0.023	0.045	0.029	0.106	0.512	2.954	6	14.505662505534527	aaAAAPHHH
CHEMBL211	tr22_pharm9_13	8	0	1.0	0.0	0.021	0.04	0.026	0.095	0.51	2.954	6	11.814990678273626	aaAAAAPHH
CHEMBL211	tr22_pharm9_2	8	0	1.0	0.0	0.021	0.04	0.026	0.095	0.51	2.954	6	13.576282106904705	aaAAAAPHH
CHEMBL211	tr22_pharm9_6	8	0	1.0	0.0	0.021	0.04	0.026	0.095	0.51	2.954	6	12.592352588487612	aaAAAAPHH
CHEMBL211	tr22_pharm9_14	7	0	1.0	0.0	0.018	0.035	0.022	0.084	0.509	2.954	6	12.462596989744412	aaAAAAPHH
CHEMBL211	tr22_pharm9_5	6	0	1.0	0.0	0.015	0.03	0.019	0.073	0.508	2.954	6	13.91109310816612	aaAAAAPHH
CHEMBL211	tr22_pharm9_15	5	0	1.0	0.0	0.013	0.025	0.016	0.061	0.506	2.954	6	12.546818435131755	aaAAAPHHH
CHEMBL211	tr22_pharm9_19	5	0	1.0	0.0	0.013	0.025	0.016	0.061	0.506	2.954	6	13.92295518309843	aaAAAAPHH
CHEMBL211	tr22_pharm9_4	3	0	1.0	0.0	0.008	0.015	0.01	0.038	0.504	2.954	6	12.241695556216193	aaAAAAPHH
CHEMBL211	tr22_pharm9_22	3	0	1.0	0.0	0.008	0.015	0.01	0.038	0.504	2.954	6	13.85348064853974	aaAAAAPHH
CHEMBL211	tr22_pharm9_7	2	0	1.0	0.0	0.005	0.01	0.006	0.025	0.503	2.954	6	14.383142844050655	aaAAAPHHH
CHEMBL211	tr22_pharm9_9	2	0	1.0	0.0	0.005	0.01	0.006	0.025	0.503	2.954	6	14.383142844050655	aaAAAPHHH
CHEMBL211	tr22_pharm9_8	1	0	1.0	0.0	0.003	0.005	0.003	0.013	0.501	2.954	6	14.383142844050655	aaAAAPHHH
CHEMBL211	tr3_pharm8_6	23	2	0.92	0.003	0.059000000000000004	0.111	0.073	0.23600000000000002	0.528	2.718	4	7.985679998491148	aaDAAPHH
CHEMBL211	tr3_pharm8_2	23	3	0.885	0.004	0.059000000000000004	0.111	0.073	0.23399999999999999	0.528	2.613	4	7.303203141732893	aaDAAPHH
CHEMBL211	tr3_pharm8_1	22	2	0.917	0.003	0.057	0.107	0.07	0.22699999999999998	0.527	2.708	4	8.387800041448093	aaDAAPHH
